Category,ID (project),Student Last Name,Student First Name,Title of Presentation
Math/Computer Science (MCS),MCS01,Patel,Arjun,MACHINE LEARNING APPROACHES TO PREDICTING CHESS ENDGAME OUTCOMES
,MCS02,Torres,Elena,OPTIMIZING DIJKSTRA'S ALGORITHM FOR SPARSE REAL-WORLD ROAD NETWORKS
,MCS03,Kim,David,CRYPTOGRAPHIC HASH FUNCTION COLLISION RESISTANCE IN LOW-ENTROPY ENVIRONMENTS
,MCS04,Okafor,Zara,NEURAL NETWORK ARCHITECTURE COMPARISON FOR HANDWRITTEN DIGIT RECOGNITION
,MCS05,Nguyen,Marcus,PROBABILISTIC MODELING OF TRAFFIC FLOW USING MARKOV CHAINS
Environmental Sciences (ENV),ENV01,Fischer,Lena,MICROPLASTIC CONCENTRATION GRADIENTS IN URBAN STORMWATER RUNOFF
,ENV02,Reyes,Sofia,EFFECT OF SOIL PH VARIATION ON NATIVE PRAIRIE GRASS GERMINATION RATES
,ENV03,Adeyemi,Kofi,CARBON SEQUESTRATION EFFICIENCY IN RESTORED VS. UNDISTURBED WETLANDS
,ENV04,Johansson,Mia,LICHENS AS BIOINDICATORS OF ATMOSPHERIC NITROGEN DEPOSITION IN URBAN PARKS
,ENV05,Chakraborty,Priya,HEAVY METAL ACCUMULATION IN EARTHWORMS ACROSS INDUSTRIALLY CONTAMINATED SOIL GRADIENTS
Health and Medicine (HM),HM01,Alvarez,Rafael,CORRELATION BETWEEN SLEEP DURATION AND WORKING MEMORY PERFORMANCE IN ADOLESCENTS
,HM02,Leblanc,Isabelle,ANTIMICROBIAL EFFICACY OF MANUKA HONEY ON STAPHYLOCOCCUS EPIDERMIDIS BIOFILMS
,HM03,Yamamoto,Kenji,DIETARY FIBER INTAKE AND GUT MICROBIOME DIVERSITY IN HIGH SCHOOL STUDENTS
,HM04,Osei,Abena,BLUE LIGHT EXPOSURE FROM SCREENS AND MELATONIN SUPPRESSION IN TEENAGERS
,HM05,Brandt,Tobias,EFFICACY OF CURCUMIN AS AN ANTI-INFLAMMATORY AGENT IN IN VITRO MACROPHAGE ASSAYS
