Judge ID,Student Project ID,Presentation Content [Background],Presentation Content [Originality of idea/purpose to research],Presentation Content [Appropriateness of methodology/procedure/study design],Presentation Content [Analysis of results],Presentation Content [Interpretation of results/conclusion],Presentation Content [Subject knowledge conveyed],Presentation Skills [Delivery],Presentation Skills [Organization of material],Presentation Skills [Appropriateness of visual aids],Presentation Skills [Ability to answer questions],Other Comments (Enter N/A if not),Student Name
DAO,MCS01,6,6,8,7,7,7,6,10,6,10,Excellent work!,Arjun Patel
AIT,MCS01,6,6,7,7,10,10,6,10,7,10,Excellent work!,Arjun Patel
IBA,MCS01,9,10,8,6,7,9,8,8,7,7,N/A,Arjun Patel
HAS2,MCS01,6,9,6,8,8,10,8,6,9,10,N/A,Arjun Patel
CAD,MCS01,6,10,8,10,8,10,7,6,6,7,N/A,Arjun Patel
DAO,MCS02,7,6,9,8,9,8,7,8,8,7,Clear presentation.,Elena Torres
AIT,MCS02,6,10,7,10,7,7,9,9,8,10,N/A,Elena Torres
IBA,MCS02,8,6,7,6,8,9,8,6,7,10,Clear presentation.,Elena Torres
HAS2,MCS02,7,9,9,9,7,8,7,7,10,10,N/A,Elena Torres
CAD,MCS02,10,9,10,9,8,7,7,10,9,6,N/A,Elena Torres
DAO,MCS03,7,7,9,10,6,9,9,10,9,10,N/A,David Kim
AIT,MCS03,6,6,10,8,8,6,8,9,7,9,N/A,David Kim
IBA,MCS03,8,10,7,10,6,8,10,10,7,7,N/A,David Kim
HAS2,MCS03,10,10,6,10,8,9,6,6,8,8,N/A,David Kim
CAD,MCS03,7,10,6,6,9,6,10,7,7,9,Strong methodology.,David Kim
DAO,ENV01,8,10,10,9,7,10,7,8,9,8,Excellent work!,Lena Fischer
CAD,ENV01,9,6,7,7,6,8,6,10,10,7,Strong methodology.,Lena Fischer
BOV,ENV01,6,6,6,7,6,6,8,6,10,7,N/A,Lena Fischer
AIT,ENV01,9,7,10,7,10,10,9,7,9,9,N/A,Lena Fischer
DAO,ENV02,6,9,8,9,9,9,6,6,6,9,Clear presentation.,Sofia Reyes
CAD,ENV02,6,7,7,7,10,9,7,9,7,8,Excellent work!,Sofia Reyes
BOV,ENV02,6,9,10,6,6,10,6,6,7,7,Excellent work!,Sofia Reyes
AIT,ENV02,9,7,9,6,7,9,6,9,8,9,N/A,Sofia Reyes
DAO,ENV03,10,9,7,7,8,7,6,10,10,6,Clear presentation.,Kofi Adeyemi
CAD,ENV03,6,6,10,9,10,10,7,6,10,6,N/A,Kofi Adeyemi
BOV,ENV03,10,6,7,9,6,10,7,10,10,6,Strong methodology.,Kofi Adeyemi
AIT,ENV03,9,10,10,10,8,8,7,8,7,8,Excellent work!,Kofi Adeyemi
CAD,HM01,8,9,8,6,6,9,10,10,6,6,Strong methodology.,Rafael Alvarez
GAM,HM01,10,8,7,8,6,7,8,8,7,9,Strong methodology.,Rafael Alvarez
HAS2,HM01,8,10,10,6,10,8,6,7,8,6,N/A,Rafael Alvarez
AIT,HM01,10,7,8,8,10,7,8,7,8,10,Excellent work!,Rafael Alvarez
IBA,HM01,6,6,9,8,6,6,8,7,8,7,Clear presentation.,Rafael Alvarez
CAD,HM02,10,9,10,6,6,6,7,10,6,8,Strong methodology.,Isabelle Leblanc
GAM,HM02,7,9,7,6,8,8,6,8,7,7,Clear presentation.,Isabelle Leblanc
HAS2,HM02,8,10,9,10,7,7,7,7,9,6,N/A,Isabelle Leblanc
AIT,HM02,8,9,7,8,7,6,9,6,9,7,N/A,Isabelle Leblanc
IBA,HM02,8,8,7,7,6,7,9,8,8,6,N/A,Isabelle Leblanc
CAD,HM03,10,9,10,8,6,6,8,7,10,8,N/A,Kenji Yamamoto
GAM,HM03,10,9,8,8,9,10,10,6,9,10,N/A,Kenji Yamamoto
HAS2,HM03,6,9,6,10,10,7,8,9,6,8,Strong methodology.,Kenji Yamamoto
AIT,HM03,6,8,10,8,9,8,9,8,10,7,N/A,Kenji Yamamoto
IBA,HM03,9,7,10,10,8,9,10,6,8,8,N/A,Kenji Yamamoto
